model,crime_cat,n_cells,spearman_global,kendall_global,recall5,recall10,ndcg,pai10,pei10,nmae,smape,log_rmse,intra_spearman,intra_recall10,intra_ndcg,intra_pai,intra_n_districts,macro_intra_spearman,min_intra_spearman,macro_intra_recall10,min_intra_recall10,macro_intra_pai,min_intra_pai,macro_recall10,min_recall10,macro_ndcg,min_ndcg
M2a_osm_centrality,robo_hurto_callejero,4312.0,0.9145562839648567,0.7872703957972327,0.30528285679224443,0.4867084918394895,0.8662414903379664,4.8670849183948945,0.7526865140552721,0.7386346589213367,1.4828049566778918,0.8414870590122817,0.5962372339433634,0.3712830300918021,0.881536851638135,3.712830300918021,41.0,,,,,,,,,,
M2a_osm_centrality,extorsion,3573.0,0.7662004328865935,0.6725807417328641,0.324039442366542,0.5848350901054064,0.867160930412546,5.848350901054063,0.8026131591227252,0.8324920532702402,1.826500967055608,0.47973722416534675,0.4004723684746464,0.3001109865332051,0.7681204598850144,3.0011098653320514,40.0,,,,,,,,,,
M2a_osm_centrality,estafa,3762.0,0.8081571938994082,0.7001842581970248,0.38851646750218594,0.5904983969688138,0.9215138587915465,5.904983969688137,0.823242584315319,0.6328465030371382,1.6527061657850934,0.4106610688145184,0.4959611305020177,0.3089701649254423,0.8336343681228444,3.0897016492544234,39.0,,,,,,,,,,
M2a_osm_centrality,violencia_familiar_sexual,4212.0,0.8982358745936294,0.7598110047412078,0.3286999369735862,0.5225004297255487,0.9055563126358679,5.225004297255486,0.8082964013472789,0.5858867503224088,1.3957005102376183,0.6602999444301305,0.5769754756757944,0.3705761383356082,0.8954960873797803,3.7057613833560814,41.0,,,,,,,,,,
M2a_osm_centrality,secuestro,3353.0,0.4048426220453681,0.37112214754408324,0.4066265060240964,0.7078313253012049,0.6810964303296816,7.078313253012048,0.7078313253012049,1.1834757620017602,1.9682821006663498,0.20630432850240732,0.23788216754478728,0.3011534048858218,0.5750628622471855,3.0115340488582176,34.0,,,,,,,,,,
M2a_osm_centrality,__macro__,,,,,,,,,,,,,,,,,0.46150567522812186,0.23788216754478728,0.3304187449543759,0.3001109865332051,3.304187449543759,3.0011098653320514,0.5784747467880926,0.4867084918394895,0.8483138045015217,0.6810964303296816
M2b_catastro,robo_hurto_callejero,4312.0,0.9100634785127274,0.7792990911593423,0.3064026260890907,0.48595686587311326,0.8722954213382959,4.859568658731132,0.7515241371130351,0.7377418737325564,1.4842147592895805,0.8411843508702715,0.5930386215881894,0.3583444543179248,0.8809847102791227,3.5834445431792474,41.0,,,,,,,,,,
M2b_catastro,extorsion,3573.0,0.7664339134875539,0.672972590510464,0.3291397483849031,0.5848350901054064,0.8679382646759153,5.848350901054063,0.8026131591227252,0.835410494749828,1.8276717968650846,0.4814155731344586,0.4103946618532327,0.2725727837019637,0.7651288462744374,2.7257278370196363,40.0,,,,,,,,,,
M2b_catastro,estafa,3762.0,0.8086099150502211,0.7009785736599529,0.38705916642378313,0.5934129991256194,0.9139286571962866,5.934129991256194,0.8273059731816336,0.6307730155140238,1.6511781479630003,0.4102331572504807,0.48846457526404674,0.3155286333832199,0.8368379829856605,3.155286333832199,39.0,,,,,,,,,,
M2b_catastro,violencia_familiar_sexual,4212.0,0.9004112231404725,0.7647786196824216,0.315051853549533,0.5239328482209362,0.9064684292379175,5.239328482209362,0.8105123205105477,0.5873768149848839,1.3954969852838213,0.660556539937718,0.5828318593007966,0.36847310812030487,0.8984987003397013,3.6847310812030485,41.0,,,,,,,,,,
M2b_catastro,secuestro,3353.0,0.40562445269855474,0.3716355926051578,0.39759036144578314,0.6987951807228916,0.6769381902378021,6.9879518072289155,0.6987951807228916,1.1789936906453786,1.967676916485637,0.2066187868678537,0.22492455321802535,0.29196586129130886,0.5487087844783429,2.9196586129130884,34.0,,,,,,,,,,
M2b_catastro,__macro__,,,,,,,,,,,,,,,,,0.4599308542448582,0.22492455321802535,0.32137696816294437,0.2725727837019637,3.2137696816294445,2.7257278370196363,0.5773865968095933,0.48595686587311326,0.8475137925372435,0.6769381902378021
M2d_mercados,robo_hurto_callejero,4312.0,0.9068483005964518,0.7734561588956214,0.3069931893483863,0.48723769787704013,0.8648520469331037,4.872376978770401,0.7535049223105206,0.736700143217165,1.4786113920470525,0.840670778707557,0.5849677843124896,0.372177246022852,0.8799914664579978,3.7217724602285203,41.0,,,,,,,,,,
M2d_mercados,extorsion,3573.0,0.7664447046542576,0.673310524597384,0.3277796667800068,0.5844950697041823,0.8532850950929399,5.844950697041822,0.8021465235650957,0.8362446448520159,1.8281792884064918,0.4817229707080321,0.4135257110303,0.28951278681666814,0.7612472015474289,2.8951278681666808,40.0,,,,,,,,,,
M2d_mercados,estafa,3762.0,0.8190770377213442,0.7164510512482932,0.38735062663946374,0.5947245700961818,0.9104443943644734,5.947245700961818,0.829134498171475,0.6315515348074706,1.6521407673695292,0.4102892971217435,0.4933353454651625,0.3156114821878513,0.8328232946873726,3.1561148218785138,39.0,,,,,,,,,,
M2d_mercados,violencia_familiar_sexual,4212.0,0.8953122970595788,0.7543205651128411,0.3214347103649802,0.5221910273305449,0.9058367697721573,5.221910273305449,0.8078177628080128,0.5849286398733985,1.3977458538722183,0.6599847436566258,0.5848334957058262,0.3686844714324612,0.8953984174913652,3.6868447143246117,41.0,,,,,,,,,,
M2d_mercados,secuestro,3353.0,0.4074671230586803,0.37647342638498865,0.4186746987951807,0.6957831325301205,0.6761712293629663,6.957831325301204,0.6957831325301205,1.190269247119658,1.9689025647119065,0.20653038497906998,0.22470526536901378,0.28934776859968675,0.5620675768330405,2.893477685996867,34.0,,,,,,,,,,
M2d_mercados,__macro__,,,,,,,,,,,,,,,,,0.4602735203765584,0.22470526536901378,0.3270667510119039,0.28934776859968675,3.2706675101190386,2.893477685996867,0.5768862995076139,0.48723769787704013,0.8421179071051281,0.6761712293629663
