year,predictor,crime_cat,n_cells,oracle_sum,pred_sum,spearman_global,recall10,ndcg,nmae,intra_spearman,intra_recall10,intra_pai,intra_n_districts
2019,observado,robo_hurto_callejero,2828,46355.0,165524.0625,0.8335362213854182,0.46590443317872937,0.8568958050616574,2.6306638633281643,0.4261539707054914,0.2568932346665629,2.5689323466656293,38
2019,observado,extorsion,2526,228.0,764.96923828125,0.37066058233636356,0.5789473684210527,0.7107610380197426,2.911320817084631,0.13687542894675148,0.24474440374440373,2.4474440374440376,30
2019,observado,estafa,2608,1970.0,6170.32568359375,0.6733245798420494,0.6335025380710659,0.7707259633951907,2.3074622344781424,0.33849159665619416,0.24222076209242616,2.4222076209242616,35
2019,observado,violencia_familiar_sexual,2803,38782.0,127562.46875,0.8276156710045238,0.4378319839100614,0.8373441990817683,2.379090740042214,0.3868908218930312,0.23950754269517996,2.395075426951799,38
2019,observado,secuestro,2493,278.0,406.98419189453125,0.35799848421493297,0.5719424460431655,0.6248894335141102,1.6674468334009531,0.18715185774961293,0.24490011622364563,2.4490011622364563,30
2019,latente,robo_hurto_callejero,2828,46355.0,905132.375,0.8320704392709446,0.4703915435228131,0.8563868209368566,18.542635471626543,0.4261539707054914,0.2568932346665629,2.5689323466656293,38
2019,latente,extorsion,2526,228.0,5194.4326171875,0.3644267750390879,0.5833333333333334,0.7033941963577781,21.83708071110468,0.13687542894675148,0.24474440374440373,2.4474440374440376,30
2019,latente,estafa,2608,1970.0,461837.28125,0.6683565483213376,0.5994923857868021,0.7742834859859968,233.46360774000323,0.33849159665619416,0.24222076209242616,2.4222076209242616,35
2019,latente,violencia_familiar_sexual,2803,38782.0,1410616.25,0.8273462829382794,0.4161724511371255,0.8315304964401801,35.38962395886739,0.3868908218930312,0.23950754269517996,2.395075426951799,38
2019,latente,secuestro,2493,278.0,3320.55810546875,0.3455272458834084,0.49640287769784175,0.6031856297755834,11.24575607165051,0.18715185774961293,0.24490011622364563,2.4490011622364563,30
2020,observado,robo_hurto_callejero,2797,25475.0,89899.46875,0.8231956560980956,0.48003925417075566,0.8295473071405702,2.604715148426,0.42292548752804143,0.23952219366709263,2.3952219366709264,38
2020,observado,extorsion,2280,156.0,728.0198974609375,0.30799165477317914,0.5064102564102564,0.6699534218968782,4.313580941745339,0.1694536258480955,0.2555197888531222,2.555197888531222,27
2020,observado,estafa,2614,2106.0,6780.77783203125,0.6857676558306881,0.6419753086419753,0.81673524173171,2.336074385029596,0.3314535689387623,0.2978470558920065,2.9784705589200646,36
2020,observado,violencia_familiar_sexual,2796,47492.0,105360.8828125,0.8246209058146835,0.4151014907773941,0.8270928846545096,1.4713935708879449,0.3870768662433063,0.23227254421811824,2.322725442181182,38
2020,observado,secuestro,2166,173.0,322.33209228515625,0.3124996288288736,0.5433526011560693,0.6130713815018779,2.101314250524731,0.13140708853042954,0.19105413105413108,1.9105413105413107,30
2020,latente,robo_hurto_callejero,2797,25475.0,490746.5625,0.8215518582712528,0.47222767419038275,0.8327143832346854,18.279483427405943,0.42292548752804143,0.23952219366709263,2.3952219366709264,38
2020,latente,extorsion,2280,156.0,5003.919921875,0.2964838998801382,0.391025641025641,0.6683969074791113,31.209453214084558,0.1694536258480955,0.2555197888531222,2.555197888531222,27
2020,latente,estafa,2614,2106.0,514640.875,0.6808933604554114,0.5726495726495726,0.8088260429110298,243.38217916162924,0.3314535689387623,0.2978470558920065,2.9784705589200646,36
2020,latente,violencia_familiar_sexual,2796,47492.0,1167415.625,0.8241227684713963,0.3991198517645077,0.8273620262891225,23.60017266264864,0.3870768662433063,0.23227254421811824,2.322725442181182,38
2020,latente,secuestro,2166,173.0,2665.060546875,0.28831184344534844,0.44508670520231214,0.5637165158440509,14.647388269547092,0.13140708853042954,0.19105413105413108,1.9105413105413107,30
2021,observado,robo_hurto_callejero,2818,34736.0,117242.53125,0.8374969127976,0.4672098111469369,0.8134081164131926,2.4742570977942453,0.4580244646634496,0.2510017780088295,2.5100177800882957,37
2021,observado,extorsion,2509,355.0,1373.14453125,0.42379819873466656,0.5690140845070423,0.6910985253562207,3.2341100477752054,0.19321749879840558,0.2519611156703501,2.519611156703501,31
2021,observado,estafa,2633,3434.0,10734.7490234375,0.7312468738958505,0.6179382644146768,0.8080568338532264,2.243952907744717,0.3436787023878369,0.2902941380027765,2.902941380027765,36
2021,observado,violencia_familiar_sexual,2804,49373.0,106172.1015625,0.8336450628345115,0.41840682154213843,0.8198594606953735,1.4184285890038395,0.38506167176299355,0.23645875036440075,2.364587503644008,38
