model,split,fold,crime_cat,n_cells,spearman_global,kendall_global,recall5,recall10,ndcg,pai10,pei10,nmae,smape,log_rmse,intra_spearman,intra_recall10,intra_ndcg,intra_pai,intra_n_districts,macro_intra_spearman,min_intra_spearman,macro_intra_recall10,min_intra_recall10,macro_intra_ndcg,min_intra_ndcg,macro_intra_pai,min_intra_pai
M2_osm,temporal_expanding,2022,estafa,50238.0,0.3671157562875692,0.30260145111915054,0.5398327464788732,0.7724471830985915,0.826929483757497,7.724471830985915,0.7724471830985915,92.40701273195403,1.9865004163182332,1.5441823405007402,0.21406067300678713,0.28890330816886195,0.622844575988051,2.889033081688619,44.0,,,,,,,,
M2_osm,temporal_expanding,2022,violencia_familiar_sexual,51544.0,0.6485364556544981,0.5369994214659654,0.46580979475716316,0.7263090157827,0.9240201017670238,7.2630901578269995,0.8650491115548294,14.614271109728111,1.923287931665691,1.6214694210195066,0.49213302947334714,0.30391864027774856,0.7967682999938738,3.0391864027774846,43.0,,,,,,,,
M2_osm,temporal_expanding,2022,secuestro,50065.0,0.08952253658472781,0.07476834569993641,0.3490566037735849,0.5031446540880503,0.4302788683894124,5.031446540880503,0.5031446540880503,10.019368844795183,1.9963597754215707,0.12850953886163466,0.03463932324692132,0.22250770369431627,0.2911039835357331,2.225077036943163,37.0,,,,,,,,
M2_osm,temporal_expanding,2022,__macro__,,,,,,,,,,,,,,,,,0.26071970899901,0.03463932324692132,0.2744156146035408,0.22250770369431627,0.6002693887781718,0.2911039835357331,2.744156146035407,2.225077036943163
M3_hist_kde,temporal_expanding,2022,robo_hurto_callejero,51755.0,0.6426072324928639,0.532823844832542,0.4775350813200017,0.7467708020426554,0.9121296085943553,7.467708020426554,0.8781127791093729,10.799871492012157,1.8942503235153096,1.2111399935311122,0.3898124743677435,0.2854175695277759,0.767801589323612,2.8541756952777586,45.0,,,,,,,,
M3_hist_kde,temporal_expanding,2022,extorsion,50109.0,0.26382752354946803,0.21915632160337772,0.44727435210008937,0.6340482573726541,0.7212821108926845,6.340482573726541,0.634048257372654,3.0904603622556994,1.959183684957937,0.22139047138490076,0.08761706715416925,0.20069205216491204,0.4925199472788247,2.0069205216491204,41.0,,,,,,,,
M3_hist_kde,temporal_expanding,2022,estafa,50238.0,0.3683829194497464,0.30501041321395056,0.5237676056338029,0.7803697183098591,0.8250973769871579,7.803697183098591,0.7803697183098591,109.83597162850091,1.9869422820554261,1.5965414002183218,0.13671470416310247,0.25065182768624095,0.593103560775451,2.5065182768624097,44.0,,,,,,,,
M3_hist_kde,temporal_expanding,2022,violencia_familiar_sexual,51544.0,0.6505907585928429,0.5405706289090317,0.46501388606651767,0.7354534986113933,0.9321219111535368,7.354534986113933,0.8759403803876484,16.16890317080074,1.9243270184855443,1.6409109210513189,0.48301517902529717,0.3191515422228888,0.8107134052717244,3.1915154222288877,43.0,,,,,,,,
M3_hist_kde,temporal_expanding,2022,secuestro,50065.0,0.08958571236494131,0.07470800997465804,0.3522012578616352,0.5188679245283019,0.4317298559128087,5.188679245283018,0.5188679245283019,10.14052466199088,1.9967663072664557,0.13045033810678291,0.017769920518988094,0.21004013483729506,0.2646901725599171,2.1004013483729507,37.0,,,,,,,,
M3_hist_kde,temporal_expanding,2022,__macro__,,,,,,,,,,,,,,,,,0.2229858690458601,0.017769920518988094,0.25319062528782255,0.20069205216491204,0.5857657350419059,0.2646901725599171,2.5319062528782252,2.0069205216491204
M4_temporal,temporal_expanding,2022,robo_hurto_callejero,51755.0,0.6426873543552156,0.5328742619996101,0.47762090717933314,0.7467922585074883,0.9123535688787854,7.4679225850748825,0.8781380093351835,10.795143673174618,1.8942877834729983,1.2110328226065257,0.39115321730518104,0.2836716724422981,0.7690233834078223,2.8367167244229807,45.0,,,,,,,,
M4_temporal,temporal_expanding,2022,extorsion,50109.0,0.26382736065603174,0.21915624883404464,0.44682752457551383,0.6340482573726541,0.7214682242667529,6.340482573726541,0.634048257372654,3.090734090319268,1.9591851661512119,0.22140280795300585,0.08799532452363916,0.20128779088091991,0.4941365834580955,2.0128779088091986,41.0,,,,,,,,
M4_temporal,temporal_expanding,2022,estafa,50238.0,0.3683829194497464,0.30501041321395056,0.5237676056338029,0.7803697183098591,0.8250973769871579,7.803697183098591,0.7803697183098591,109.83597162850091,1.9869422820554261,1.5965414002183218,0.13671470416310247,0.25065182768624095,0.593103560775451,2.5065182768624097,44.0,,,,,,,,
M4_temporal,temporal_expanding,2022,violencia_familiar_sexual,51544.0,0.6505907585928429,0.5405706289090317,0.46501388606651767,0.7354534986113933,0.9321219111535368,7.354534986113933,0.8759403803876484,16.16890317080074,1.9243270184855443,1.6409109210513189,0.48301517902529717,0.3191515422228888,0.8107134052717244,3.1915154222288877,43.0,,,,,,,,
M4_temporal,temporal_expanding,2022,secuestro,50065.0,0.08973057141353294,0.07479172981013466,0.3553459119496855,0.5283018867924528,0.43188447297845317,5.283018867924528,0.5283018867924528,10.139664561378066,1.996768071983481,0.13043100942279284,0.014905439242308789,0.21100538580254602,0.26557706126304265,2.11005385802546,37.0,,,,,,,,
M4_temporal,temporal_expanding,2022,__macro__,,,,,,,,,,,,,,,,,0.2227567728519057,0.014905439242308789,0.25315364380697875,0.20128779088091991,0.5865107988352272,0.26557706126304265,2.531536438069787,2.0128779088091986
M1_demografia,temporal_expanding,2023,robo_hurto_callejero,52215.0,0.6732323119291194,0.5586919301211858,0.419962995658641,0.7075568669657649,0.891436595710858,7.075568669657649,0.8522694167686301,5.209351304892933,1.83094735795584,1.085743246742324,0.37589566850465617,0.26266473593252015,0.7442417401289986,2.6266473593252013,45.0,,,,,,,,
M1_demografia,temporal_expanding,2023,extorsion,50118.0,0.2769594523051169,0.23327044053527593,0.4299258037922506,0.6063478977741138,0.7394466089940539,6.063478977741138,0.6063478977741138,4.934959885902898,1.946123322511451,0.3167916844254688,0.10315450913560237,0.23976218094529234,0.5151731106660649,2.3976218094529234,44.0,,,,,,,,
M1_demografia,temporal_expanding,2023,estafa,50260.0,0.3798294055600742,0.3183109100819022,0.5332269008182,0.7730991818000399,0.81837783173214,7.7309918180003985,0.7730991818000399,96.07736559248703,1.986796263810683,1.6336621286920099,0.1905613900336171,0.27253646499015316,0.5973233520563684,2.725364649901532,43.0,,,,,,,,
M1_demografia,temporal_expanding,2023,violencia_familiar_sexual,51556.0,0.6440392411761688,0.5330364579875103,0.3858993190012018,0.6869074642809454,0.8763618916022282,6.869074642809454,0.8193437923070798,13.111017784725847,1.9154092935936256,1.5972287979000699,0.36129244404468036,0.2521930446383178,0.7334088702515441,2.5219304463831786,45.0,,,,,,,,
M1_demografia,temporal_expanding,2023,secuestro,50065.0,0.09443213998353084,0.07943977847934916,0.34355828220858897,0.48466257668711654,0.44443820457225314,4.846625766871165,0.48466257668711654,10.36832217516229,1.996343673466539,0.134672128386733,0.026945999199242964,0.23372820872820876,0.27859458154409783,2.337282087282087,37.0,,,,,,,,
M1_demografia,temporal_expanding,2023,__macro__,,,,,,,,,,,,,,,,,0.21157000218355976,0.026945999199242964,0.2521769270468984,0.23372820872820876,0.5737483309294147,0.27859458154409783,2.5217692704689845,2.337282087282087
