ubigeo,categoria,anio,observado,r_hat,r_ic_low,r_ic_high,r_scope,latente,latente_ic_low,latente_ic_high,factor_subrep,latente_rate_100k,inestable
150139,estafa,2019,2,0.0136,0.0008,0.0432,panel,147.1,46.3,2500.0,73.5,428.0,1
150139,estafa,2020,6,0.0136,0.0008,0.0432,panel,441.2,138.9,7500.0,73.5,1162.8,1
150139,estafa,2021,10,0.0136,0.0008,0.0432,panel,735.3,231.5,12500.0,73.5,1836.9,1
150139,estafa,2022,11,0.0136,0.0008,0.0432,panel,808.8,254.6,13750.0,73.5,1920.9,1
150139,estafa,2023,15,0.0136,0.0008,0.0432,panel,1102.9,347.2,18750.0,73.5,2496.8,1
150139,estafa,2024,18,0.0136,0.0008,0.0432,panel,1323.5,416.7,22500.0,73.5,2862.6,1
150139,extorsion,2018,1,0.1833,0.0042,0.5811,panel,5.5,1.7,238.1,5.5,17.6,0
150139,extorsion,2019,1,0.1833,0.0042,0.5811,panel,5.5,1.7,238.1,5.5,15.9,0
150139,extorsion,2020,1,0.1833,0.0042,0.5811,panel,5.5,1.7,238.1,5.5,14.4,0
150139,extorsion,2022,26,0.1833,0.0042,0.5811,panel,141.8,44.7,6190.5,5.5,336.9,0
150139,extorsion,2023,12,0.1833,0.0042,0.5811,panel,65.5,20.7,2857.1,5.5,148.2,0
150139,extorsion,2024,18,0.1833,0.0042,0.5811,panel,98.2,31.0,4285.7,5.5,212.4,0
150139,robo_hurto_callejero,2018,105,0.2162,0.1428,0.3,panel,485.7,350.0,735.3,4.6,1565.6,0
150139,robo_hurto_callejero,2019,168,0.2162,0.1428,0.3,panel,777.1,560.0,1176.5,4.6,2261.5,0
150139,robo_hurto_callejero,2020,90,0.2162,0.1428,0.3,panel,416.3,300.0,630.3,4.6,1097.2,0
150139,robo_hurto_callejero,2021,76,0.2162,0.1428,0.3,panel,351.5,253.3,532.2,4.6,878.2,0
150139,robo_hurto_callejero,2022,124,0.2162,0.1428,0.3,panel,573.5,413.3,868.3,4.6,1362.1,0
150139,robo_hurto_callejero,2023,163,0.2162,0.1428,0.3,panel,753.9,543.3,1141.5,4.6,1706.7,0
150139,robo_hurto_callejero,2024,218,0.2162,0.1428,0.3,panel,1008.3,726.7,1526.6,4.6,2180.8,0
150139,secuestro,2020,4,0.1774,0.0,0.8035,panel,22.5,5.0,,5.6,59.4,0
150139,secuestro,2022,5,0.1774,0.0,0.8035,panel,28.2,6.2,,5.6,66.9,0
150139,secuestro,2024,1,0.1774,0.0,0.8035,panel,5.6,1.2,,5.6,12.2,0
150139,violencia_familiar_sexual,2018,189,0.091,0.0433,0.1539,panel,2076.9,1228.1,4364.9,11.0,6695.2,0
150139,violencia_familiar_sexual,2019,225,0.091,0.0433,0.1539,panel,2472.5,1462.0,5196.3,11.0,7195.7,0
150139,violencia_familiar_sexual,2020,196,0.091,0.0433,0.1539,panel,2153.8,1273.6,4526.6,11.0,5677.0,0
150139,violencia_familiar_sexual,2021,232,0.091,0.0433,0.1539,panel,2549.5,1507.5,5358.0,11.0,6368.8,0
150139,violencia_familiar_sexual,2022,242,0.091,0.0433,0.1539,panel,2659.3,1572.4,5588.9,11.0,6315.7,0
